Date,n,P,score_window
2023-02-24,30,0.1,213.07258333333448
2023-02-27,30,0.1,212.60083333333387
2023-02-28,30,0.1,124.00083333333168
2023-03-01,30,0.1,151.47858333332988
2023-03-02,18,0.22,208.91516666666575
2023-03-03,18,0.22,208.66516666666575
2023-03-06,18,0.22,228.88041666666686
2023-03-08,18,0.22,228.88041666666686
2023-03-09,18,0.22,300.18875000000116
2023-03-10,18,0.22,370.7865833333344
2023-03-13,18,0.22,370.7865833333344
2023-03-14,18,0.22,423.5160833333357
2023-03-15,18,0.22,495.6980000000003
2023-03-16,18,0.22,449.8729999999996
2023-03-17,14,0.3,420.9396428571381
2023-03-20,14,0.3,435.3396428571323
2023-03-21,30,0.22,422.6295333333328
2023-03-22,30,0.22,410.32953333333353
2023-03-23,30,0.22,410.32953333333353
2023-03-24,30,0.22,335.83788333333723
2023-03-27,30,0.22,333.83788333333723
2023-03-28,22,0.14,253.6410757575759
2023-03-29,28,0.14,340.7824583333313
2023-03-31,18,0.14,338.8249166666719
2023-04-03,28,0.14,375.1704583333303
2023-04-05,28,0.14,365.12045833333104
2023-04-06,18,0.14,363.6645000000062
2023-04-10,18,0.14,402.3393333333406
2023-04-11,28,0.14,319.7652083333305
2023-04-12,18,0.14,285.1028333333379
2023-04-13,18,0.14,296.4028333333372
2023-04-17,18,0.14,197.92799999999988
2023-04-18,22,0.18,98.97618181818325
2023-04-19,20,0.18,65.05846666666912
2023-04-20,20,0.18,101.50013333333482
2023-04-21,20,0.18,50.250133333338454
2023-04-24,20,0.18,36.97153333333699
2023-04-25,20,0.18,43.22153333333699
2023-04-26,20,0.18,7.67153333333772
2023-04-27,20,0.18,39.921533333330444
2023-04-28,20,0.18,82.23803333333126
2023-05-02,20,0.18,250.48934166666368
2023-05-03,20,0.18,260.03934166666295
2023-05-04,20,0.18,230.78934166666295
2023-05-05,20,0.18,214.13371666666353
2023-05-08,20,0.18,169.8087166666628
2023-05-09,20,0.18,153.69376666666358
2023-05-10,12,0.22,131.95866666666552
2023-05-11,18,0.3,111.58041666666031
2023-05-12,18,0.3,111.58041666666031
2023-05-15,18,0.3,95.69708333332528
2023-05-16,12,0.22,107.60420833333046
2023-05-17,12,0.22,153.51920833333133
2023-05-18,12,0.22,230.5271666666631
2023-05-19,22,0.26,220.4353030302991
2023-05-22,22,0.26,220.4353030302991
2023-05-23,22,0.26,264.0353030303013
2023-05-24,22,0.26,264.0353030303013
2023-05-25,22,0.26,241.21030303030057
2023-05-26,22,0.26,235.1603030303013
2023-05-29,22,0.26,245.3899393939355
2023-05-30,22,0.26,193.7035984848444
2023-05-31,22,0.26,193.7035984848444
2023-06-01,22,0.26,145.4535984848444
2023-06-02,22,0.26,96.75164393939122
2023-06-05,22,0.26,65.2266439393934
2023-06-06,30,0.1,40.70916666665653
2023-06-07,30,0.1,127.34441666665589
2023-06-08,30,0.1,126.52641666665659
2023-06-09,30,0.1,83.02641666665659
2023-06-12,30,0.1,84.74074999998993
2023-06-13,30,0.1,65.63124999999127
2023-06-14,30,0.1,57.37899999999354
2023-06-15,30,0.1,38.250249999993684
2023-06-16,30,0.1,47.16574999999284
2023-06-19,30,0.1,45.78524999999354
2023-06-20,24,0.28,27.36212499999965
2023-06-21,24,0.28,41.81212499999674
